rank,country_or_dependent_territory_,population,date,__of_worldpopulation,source
29,Spain,"46,733,038","July 1, 2018",0.61%,Official estimate
30,Colombia,"45,500,000","November 2, 2018",0.59%,Preliminary 2018 census result
31,Argentina,"44,938,712","July 1, 2019",0.58%,Official annual projection
32,Algeria,"43,378,027","July 1, 2019",0.56%,Official annual projection
33,Ukraine[Note 9],"42,122,657","February 1, 2019",0.55%,Monthly official estimate
34,Sudan,"41,423,546","April 9, 2019",0.54%,Official population clock
35,Uganda,"40,006,700","July 1, 2019",0.52%,Official annual projection
36,Iraq,"39,127,900","July 1, 2019",0.51%,Official annual projection
37,Poland,"38,433,600","December 31, 2017",0.5%,Official estimate
38,Canada,"37,435,000","April 9, 2019",0.486%,Official population clock
39,Morocco[Note 10],"34,984,800","April 9, 2019",0.454%,Official population clock
40,Uzbekistan,"33,432,735","April 9, 2019",0.43%,Official population clock
41,Saudi Arabia,"33,413,660","January 1, 2018",0.43%,Official estimate
42,Malaysia,"32,680,500","April 9, 2019",0.425%,Official population clock
43,Peru,"32,495,510","June 30, 2019",0.42%,Official estimate
44,Venezuela,"32,219,521","June 30, 2019",0.42%,Official annual projection
45,Afghanistan,"31,575,018","July 1, 2018",0.41%,Official annual estimate
46,Ghana,"30,280,811","July 1, 2019",0.39%,Official projection
47,Angola,"30,175,553","July 1, 2019",0.39%,Official projection
48,Nepal,"29,609,623","July 1, 2019",0.38%,Official annual projection
49,Yemen,"29,579,986","July 1, 2019",0.38%,UN projection
50,Mozambique,"28,861,863","August 1, 2017",0.37%,Official census result
51,Ivory Coast,"25,823,071","July 1, 2019",0.34%,Official projection
52,North Korea,"25,450,000","July 1, 2019",0.33%,Official annual projection
53,Australia,"25,318,700","April 9, 2019",0.329%,Official population clock
54,Madagascar,"25,263,000","July 1, 2019",0.33%,Official annual projection
55,Cameroon,"24,348,251","July 1, 2019",0.32%,Official annual projection
–,Taiwan[Note 11],"23,590,004","February 28, 2019",0.31%,Monthly official estimate
56,Niger,"22,314,743","July 1, 2019",0.29%,Official annual projection
57,Sri Lanka,"21,670,112","July 1, 2018",0.28%,Official estimate
58,Burkina Faso,"20,870,060","July 1, 2019",0.27%,Official annual projection
59,Mali,"19,973,000","July 1, 2019",0.26%,Official annual projection
60,Romania,"19,523,621","January 1, 2018",0.25%,Official annual estimate
61,Chile,"19,107,216","July 1, 2019",0.25%,Official annual projection
62,Syria,"18,499,181","July 1, 2019",0.24%,UN projection
63,Kazakhstan,"18,453,328","April 9, 2019",0.24%,Official population clock
64,Guatemala,"17,679,735","June 30, 2019",0.23%,Official annual projection
65,Malawi,"17,563,749","September 3, 2018",0.23%,Preliminary 2018 census result
66,Zambia,"17,381,168","July 1, 2019",0.23%,Official annual projection
67,Netherlands,"17,310,300","April 9, 2019",0.225%,Official population clock
68,Ecuador,"17,214,000","April 9, 2019",0.224%,Official population clock
69,Cambodia,"16,289,270","July 1, 2019",0.21%,Official annual projection
70,Senegal,"16,209,125","July 1, 2019",0.21%,Official annual projection
71,Chad,"15,692,969","July 1, 2019",0.2%,Official annual projection
72,Somalia[Note 12],"15,636,171","July 1, 2019",0.2%,UN projection
73,Zimbabwe,"15,159,624","July 1, 2019",0.2%,Official annual projection
74,South Sudan,"12,778,250","July 1, 2019",0.17%,Official annual projection
75,Rwanda,"12,374,397","July 1, 2019",0.16%,Official projection annual
76,Guinea,"12,218,357","July 1, 2019",0.16%,Official projection
77,Benin,"11,733,059","July 1, 2019",0.15%,Official projection annual
78,Haiti,"11,577,779","July 1, 2019",0.15%,Official annual projection
79,Tunisia,"11,551,448","July 1, 2018",0.15%,Official estimate
80,Bolivia,"11,469,896","July 1, 2019",0.15%,Official projection annual
81,Belgium,"11,460,522","February 1, 2019",0.15%,Monthly official estimate
82,Cuba,"11,221,060","December 31, 2017",0.15%,Official annual estimate
83,Burundi,"10,953,317","July 1, 2019",0.14%,Official annual projection
84,Greece,"10,741,165","January 1, 2018",0.14%,Official estimate
85,Czech Republic,"10,649,800","December 31, 2018",0.14%,Official quarterly estimate
86,Jordan,"10,389,500","April 9, 2019",0.135%,Official population clock
87,Dominican Republic,"10,358,320","July 1, 2019",0.13%,Official projection
88,Portugal,"10,291,027","December 31, 2017",0.13%,Official annual estimate
89,Sweden,"10,246,901","February 28, 2019",0.13%,Official monthly estimate
90,Azerbaijan,"9,981,457","January 1, 2019",0.13%,Official estimate
91,Hungary,"9,771,000","January 1, 2018",0.13%,Official annual estimate
92,United Arab Emirates,"9,682,088","July 1, 2019",0.13%,UN projection
93,Belarus,"9,475,200","January 1, 2019",0.12%,Official quarterly estimate
94,Honduras,"9,158,345","July 1, 2019",0.12%,Official annual projection
95,Israel,"9,015,640","April 9, 2019",0.117%,Official population clock
96,Tajikistan,"8,931,000","January 1, 2018",0.12%,Official estimate
97,Austria,"8,859,992","January 1, 2019",0.12%,Quarterly provisional figure
98,Papua New Guinea,"8,558,800","July 1, 2018",0.11%,Official annual estimate
99,Switzerland,"8,542,323","December 31, 2018",0.11%,Official provisional figure
100,Sierra Leone,"7,901,454","July 1, 2019",0.103%,Official annual projection
101,Togo,"7,538,000","July 1, 2019",0.098%,Official annual projection
–,Hong Kong (China),"7,482,500","December 31, 2018",0.097%,Official estimate
102,Paraguay,"7,152,703","July 1, 2019",0.093%,Official annual projection
103,Laos,"7,123,205","July 1, 2019",0.093%,Official annual projection
104,Bulgaria,"7,050,034","December 31, 2017",0.092%,Official estimate
105,Serbia[Note 13],"7,001,444","January 1, 2018",0.091%,Official annual estimate
106,El Salvador,"6,704,864","July 1, 2019",0.087%,Official annual projection
107,Libya,"6,569,864","July 1, 2019",0.085%,UN projection
108,Nicaragua,"6,393,824","June 30, 2017",0.083%,Official estimate
109,Kyrgyzstan,"6,389,500","January 1, 2019",0.083%,Official estimate
110,Lebanon,"6,065,922","July 1, 2019",0.079%,UN projection
111,Turkmenistan,"5,942,561","July 1, 2019",0.077%,UN projection
112,Denmark,"5,806,081","January 1, 2019",0.075%,Official quarterly estimate
113,Singapore,"5,638,700","June 30, 2018",0.073%,Official estimate
114,Republic of the Congo,"5,542,197","July 1, 2019",0.072%,UN projection
115,Finland,"5,522,018","February 28, 2019",0.072%,Official monthly estimate
116,Central African Republic,"5,496,011","July 1, 2019",0.071%,Official annual projection
117,Slovakia,"5,450,421","December 31, 2018",0.071%,Official estimate
118,Norway,"5,328,212","January 1, 2019",0.069%,Official quarterly estimate
119,Eritrea,"5,309,659","July 1, 2019",0.069%,UN projection
120,Costa Rica,"5,058,007","June 30, 2019",0.066%,Official annual projection
121,New Zealand,"4,953,730","April 9, 2019",0.0644%,Official population clock
122,Ireland,"4,857,000","April 1, 2018",0.063%,Official estimate
123,Palestine,"4,780,978","December 1, 2017",0.062%,Official census result
124,Oman,"4,687,295","April 8, 2019",0.061%,Official estimate
125,Liberia,"4,475,353","July 1, 2019",0.058%,Official projection
126,Kuwait,"4,226,920","January 1, 2018",0.055%,Official annual estimate
127,Panama,"4,218,808","July 1, 2019",0.055%,Official annual projection
128,Croatia,"4,105,493","January 1, 2018",0.053%,Official estimate
129,Mauritania,"4,077,347","July 1, 2019",0.053%,Official annual projection
130,Georgia[Note 14],"3,729,600","January 1, 2018",0.048%,Official annual estimate
131,Moldova[Note 15],"3,547,539","January 1, 2018",0.046%,Official estimate
132,Uruguay,"3,518,552","June 30, 2019",0.046%,Official annual projection
133,Bosnia and Herzegovina,"3,502,550","January 1, 2018",0.046%,Official estimate
134,Mongolia,"3,251,750","April 9, 2019",0.042%,Official population clock
–,Puerto Rico (U.S.),"3,195,153","July 1, 2018",0.042%,Official estimate
135,Armenia,"2,969,200","September 30, 2018",0.039%,Official quarterly estimate
136,Albania,"2,862,427","January 1, 2019",0.037%,Official annual estimate
137,Lithuania,"2,790,842","March 1, 2019",0.036%,Monthly official estimate
138,Qatar,"2,760,586","March 31, 2019",0.036%,Monthly official estimate
139,Jamaica,"2,726,667","December 31, 2018",0.035%,Official estimate
140,Namibia,"2,458,936","July 1, 2019",0.032%,Official projection
141,Botswana,"2,338,851","July 1, 2019",0.03%,Official annual projection
142,The Gambia,"2,228,075","July 1, 2019",0.029%,UN projection
143,Gabon,"2,109,099","July 1, 2019",0.027%,UN projection
144,Slovenia,"2,076,595","October 1, 2018",0.027%,Official estimate
145,North Macedonia,"2,075,301","December 31, 2017",0.027%,Official estimate
146,Lesotho,"2,007,201","April 10, 2016",0.026%,2016 census result
147,Latvia,"1,917,300","March 1, 2019",0.025%,Monthly official estimate
–,Kosovo[Note 16],"1,798,506","December 31, 2017",0.023%,Official annual estimate
148,Guinea-Bissau,"1,604,528","July 1, 2019",0.021%,Official annual projection
149,Bahrain,"1,543,300","July 1, 2019",0.02%,Official annual projection
150,East Timor,"1,387,149","July 1, 2019",0.018%,Official annual projection
151,Trinidad and Tobago,"1,359,193","June 30, 2018",0.018%,Official estimate
152,Equatorial Guinea,"1,358,276","July 1, 2018",0.018%,Official estimate
153,Estonia,"1,323,820","January 1, 2019",0.017%,Official estimate
154,Mauritius,"1,265,577","July 1, 2018",0.016%,Official estimate
155,Eswatini,"1,093,238","May 11, 2017",0.014%,Official census result
156,Djibouti,"1,078,373","July 1, 2019",0.014%,Official annual projection
157,Fiji,"884,887","September 17, 2017",0.011%,Official census result
158,Comoros,"873,724","July 1, 2019",0.011%,Official estimate
159,Cyprus,"864,200","December 31, 2017",0.011%,Official annual estimate
160,Guyana,"786,508","July 1, 2019",0.0102%,UN projection
161,Bhutan,"741,672","July 1, 2019",0.0096%,Official annual projection
162,Solomon Islands,"680,806","July 1, 2019",0.0088%,Official annual projection
–,Macau (China),"667,400","December 31, 2018",0.0087%,Official quarterly estimate
163,Montenegro,"622,359","January 1, 2018",0.0081%,Official estimate
164,Luxembourg,"602,005","January 1, 2018",0.0078%,Official estimate
–,Western Sahara[Note 17],"582,478","July 1, 2019",0.0076%,UN projection
165,Suriname,"573,085","July 1, 2019",0.0074%,UN projection
166,Cape Verde,"550,483","July 1, 2019",0.0072%,Official annual projection
167,Malta,"475,701","December 31, 2017",0.0062%,Official estimate
–,Transnistria[Note 18],"469,000","January 1, 2018",0.0061%,Official estimate
168,Brunei,"421,300","July 1, 2017",0.0055%,Official estimate
169,Belize,"398,050","July 1, 2018",0.0052%,Official estimate
170,Bahamas,"385,340","July 1, 2019",0.005%,Official annual projection
171,Maldives,"378,114","December 31, 2017",0.0049%,Official annual estimate
172,Iceland,"357,050","December 31, 2018",0.0046%,Official quarterly estimate
–,Northern Cyprus[Note 19],"351,965","December 31, 2017",0.0046%,Official estimate
173,Vanuatu,"304,500","July 1, 2018",0.004%,Official annual estimate
174,Barbados,"287,010","July 1, 2019",0.0037%,UN projection
–,New Caledonia (France),"282,200","January 1, 2018",0.0037%,Official annual estimate
–,French Polynesia (France),"275,918","August 17, 2017",0.0036%,2017 census results
–,Abkhazia[Note 20],"244,832","January 1, 2018",0.0032%,Official estimate
175,São Tomé and Príncipe,"201,784","July 1, 2018",0.0026%,Official estimate
176,Samoa,"200,874","July 1, 2019",0.0026%,Official projection
177,Saint Lucia,"180,454","July 1, 2019",0.0023%,UN projection
–,Guam (U.S.),"172,400","July 1, 2018",0.0022%,Official annual estimate
–,Curaçao (Netherlands),"160,012","January 1, 2018",0.0021%,Official annual estimate
–,Artsakh[Note 21],"145,053","December 1, 2015",0.0019%,2015 census result
178,Kiribati,"120,100","July 1, 2018",0.0016%,Official annual estimate
–,Aruba (Netherlands),"111,849","December 31, 2018",0.0015%,Official quarterly estimate
179,Saint Vincent and the Grenadines,"109,803","July 1, 2017",0.0014%,Official estimate
180,Grenada,"108,825","July 1, 2019",0.0014%,UN projection
–,Jersey (UK),"105,500","December 31, 2017",0.0014%,Official estimate
181,Federated States of Micronesia,"105,300","July 1, 2018",0.0014%,Official annual estimate
–,United States Virgin Islands (U.S.),"104,909","July 1, 2019",0.0014%,UN projection
182,Antigua and Barbuda,"104,084","July 1, 2019",0.0014%,UN projection
183,Tonga,"100,651","November 30, 2016",0.0013%,2016 census result
184,Seychelles,"96,762","June 30, 2018",0.0013%,Official estimate
–,Isle of Man (UK),"83,314","April 24, 2016",0.0011%,2016 census result
185,Andorra,"74,794","December 31, 2017",0.001%,Official estimate
186,Dominica,"74,679","July 1, 2019",0.001%,UN projection
–,Bermuda (UK),"64,027","July 1, 2019",0.00083%,Official annual projection
–,Cayman Islands (UK),"63,415","December 31, 2017",0.00082%,Official estimate
–,Guernsey (UK),"62,063","December 31, 2017",0.00081%,Official estimate
–,American Samoa (U.S.),"56,700","July 1, 2018",0.00074%,Official annual estimate
–,Northern Mariana Islands (U.S.),"56,200","July 1, 2018",0.00073%,Official annual estimate
187,Saint Kitts and Nevis,"56,345","July 1, 2019",0.0007%,UN projection
–,Greenland (Denmark),"55,992","January 1, 2019",0.00073%,Official estimate
188,Marshall Islands,"55,500","July 1, 2018",0.00072%,Official annual estimate
–,South Ossetia[Note 22],"53,532","October 15, 2015",0.0007%,Preliminary 2015 census result
–,Faroe Islands (Denmark),"51,440","February 1, 2019",0.00067%,Monthly official estimate
–,Turks and Caicos Islands (UK),"41,369","July 1, 2018",0.00054%,Official estimate
–,Sint Maarten (Netherlands),"40,614","January 1, 2018",0.00053%,Official estimate
189,Liechtenstein,"38,380","December 31, 2018",0.0005%,Official semi annual estimate
190,Monaco,"38,300","December 31, 2017",0.0005%,Official annual estimate
–,Saint-Martin (France),"35,746","January 1, 2016",0.00046%,Official estimate
–,Gibraltar (UK),"33,573","December 31, 2015",0.00044%,Official estimate
191,San Marino,"33,419","December 31, 2018",0.00043%,Official monthly estimate
–,British Virgin Islands (UK),"32,206","July 1, 2019",0.00042%,UN projection
192,Palau,"17,900","July 1, 2018",0.00023%,Official annual estimate
–,Cook Islands (NZ),"15,200","July 1, 2018",0.0002%,Official annual estimate
–,Anguilla (UK),"15,174","July 1, 2019",0.0002%,UN projection
–,Wallis and Futuna (France),"11,700","July 1, 2018",0.00015%,Official annual estimate
193,Nauru,"11,000","July 1, 2018",0.00014%,Official annual estimate
194,Tuvalu,"10,200","July 1, 2018",0.00013%,Official annual estimate
–,Saint Barthélemy (France),"9,793","January 1, 2016",0.00013%,Official estimate
–,Saint Pierre and Miquelon (France),"6,008","January 1, 2016",0.000078%,Official estimate
–,"Saint Helena, Ascensionand Tristan da Cunha (UK)","5,633","February 7, 2016",0.000073%,2016 census result
–,Montserrat (UK),"5,220","July 1, 2019",0.000068%,UN projection
–,Falkland Islands (UK),"3,198","October 9, 2016",0.000042%,2016 census result
–,Christmas Island (Australia),"1,928","June 30, 2018",0.000025%,Official estimate
–,Norfolk Island (Australia),"1,756","June 30, 2018",0.000023%,Official estimate
–,Niue (NZ),"1,520","July 1, 2018",0.000020%,Official annual estimate
–,Tokelau (NZ),"1,400","July 1, 2018",0.000018%,Official annual estimate
195,Vatican City,800,"January 1, 2014",0.000010%,Official estimate
–,Cocos (Keeling) Islands (Australia),538,"June 30, 2018",0.0000070%,Official estimate
–,Pitcairn Islands (UK),50,"January 1, 2019",0.00000065%,Official estimate
